ID,Data,Produto,Categoria,Quantidade,Preço
1,21/05/2023,Micro-ondas,Eletrodomésticos,2,246.29
2,22/02/2023,Camiseta,Vestuário,4,112.79
3,05/08/2023,Micro-ondas,Eletrodomésticos,9,484.71
4,30/04/2023,Notebook,Eletrônicos,1,743.43
5,12/04/2023,Sofá,Móveis,10,371.65
6,18/08/2023,Liquidificador,Eletrodomésticos,9,1765.15
7,04/01/2023,Geladeira,Eletrodomésticos,5,3266.31
8,21/03/2023,Fone de Ouvido,Eletrônicos,7,2173.45
9,14/07/2023,Camiseta,Vestuário,6,95.99
10,06/11/2023,Smartphone,Eletrônicos,6,5115.47
11,02/10/2023,Calça Jeans,Vestuário,1,378.38
12,31/05/2023,Smartphone,Eletrônicos,7,657.04
13,05/07/2023,Micro-ondas,Eletrodomésticos,10,3558.99
14,24/01/2023,Geladeira,Eletrodomésticos,4,2862.6
15,10/02/2023,Micro-ondas,Eletrodomésticos,4,3126.31
16,21/08/2023,Camiseta,Vestuário,2,221.06
17,01/07/2023,Micro-ondas,Eletrodomésticos,6,776.22
18,16/12/2023,Camiseta,Vestuário,5,365.82
19,29/03/2023,Micro-ondas,Eletrodomésticos,2,2495.15
20,14/07/2023,Sofá,Móveis,4,741.19
21,16/06/2023,Calça Jeans,Vestuário,9,148.83
22,11/06/2023,Notebook,Eletrônicos,4,4966.46
23,18/10/2023,Cadeira Gamer,Móveis,5,478.71
24,13/09/2023,Liquidificador,Eletrodomésticos,6,968.61
25,13/03/2023,Cadeira Gamer,Móveis,8,685.75
26,27/10/2023,Camiseta,Vestuário,9,292.54
27,23/04/2023,Cadeira Gamer,Móveis,10,1378.38
28,25/01/2023,Fone de Ouvido,Eletrônicos,9,3062.39
29,15/12/2023,Smartphone,Eletrônicos,3,3839.19
29,15/12/2023,Smartphone,Eletrônicos,3,3839.19
31,11/10/2023,Geladeira,Eletrodomésticos,8,2187.09
32,02/10/2023,Notebook,Eletrônicos,2,4153.92
33,11/08/2023,Calça Jeans,,6,100.2
34,15/05/2023,Fone de Ouvido,Eletrônicos,8,218.82
35,24/02/2023,Sofá,Móveis,3,1670.74
36,17/09/2023,Micro-ondas,Eletrodomésticos,5,3390.43
37,24/03/2023,Geladeira,Eletrodomésticos,4,738.43
38,03/11/2023,Sofá,Móveis,9,2779.93
39,05/07/2023,,Vestuário,8,58.76
40,18/10/2023,Calça Jeans,Vestuário,4,76.07
41,05/02/2023,Smartphone,Eletrônicos,2,4445.06
42,01/09/2023,Sofá,Móveis,3,646.66
43,07/11/2023,Sofá,Móveis,3,1015.65
44,20/12/2023,Cadeira Gamer,Móveis,4,2808.07
45,10/12/2023,Camiseta,Vestuário,5,229.55
46,22/09/2023,Micro-ondas,Eletrodomésticos,6,1836.69
47,02/02/2023,Mesa de Escritório,Móveis,2,969.35
48,28/04/2023,Tênis,Vestuário,1,314.74
49,29/12/2023,Geladeira,Eletrodomésticos,4,177.68
49,29/12/2023,Geladeira,Eletrodomésticos,4,177.68
